gene_id,Product Description ,,FC DOZI/WT,Confidence,PF ID,PF Product Description,Manual Annotation,CITH,DOZI,DOZI/CITH in mosquito and liver stages,,Molecular Function,Biological Process,Cellular Component,Molecular Function,Biological Process,Cellular Component
PBANKA_144510,"ATP-dependent protease subunit ClpQ, putative (ClpQ)",,,,PF3D7_1230400,ATP-dependent protease subunit ClpQ (ClpQ),protease,1,1,2,na,threonine-type endopeptidase activity,proteolysis involved in cellular protein catabolic process,proteasome core complex,,,
PBANKA_061160,"ribonucleoside-diphosphate reductase, large subunit, putative",,,,PF3D7_1437200,"ribonucleoside-diphosphate reductase, large subunit",pyrimidine metabolism,1,1,2,na,"ATP binding, protein binding, ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","DNA replication, oxidation-reduction process",ribonucleoside-diphosphate reductase complex,,,
PBANKA_140800,"h/aca ribonucleoprotein complex subunit 1, putative (GAR1)",,,,PF3D7_1309500,"small nucleolar ribonucleoprotein, putative",RNA,1,1,2,na,rRNA binding,rRNA processing,small nucleolar ribonucleoprotein complex,,,
PBANKA_100310,"pre-mRNA-processing-splicing factor 8, putative (PRPF8)",,,,PF3D7_0405400,"pre-mRNA-processing-splicing factor 8, putative (PRPF8)",mRNA,1,1,2,na,null,"nuclear mRNA splicing, via spliceosome",spliceosomal complex,,,
PBANKA_083300,"profilin, putative (PFN)",,,,PF3D7_0932200,"profilin, putative (PFN)",gliding motility,1,0,1,(mutated) different in fertilization and ookinete,actin binding,cytoskeleton organization,actin cytoskeleton,,,
PBANKA_071690,"conserved Plasmodium protein, unknown function",,,,PF3D7_0414900,"conserved ARM repeats protein, unknown function","centrosome, chromatin",0,1,1,na,binding,null,"anchored to membrane, rhoptry",,,
PBANKA_110790,"triose phosphate transporter, putative",,,,PF3D7_0508300,triose phosphate transporter (oTPT),"transporter, apicoplast",1,0,1,na,null,null,"apicoplast, membrane",,,
PBANKA_143270,"conserved Plasmodium protein, unknown function",,,,PF3D7_1217100.1/2,"conserved Plasmodium protein, unknown function",meiosis,0,1,1,na,"ATP binding, DNA binding, catalytic activity",DNA metabolic process,chromosome,,,
PBANKA_101140,"DNA topoisomerase II, putative",,,,PF3D7_1433500,"DNA topoisomerase II, putative",DNA replication,0,1,1,na,"ATP binding, DNA topoisomerase (ATP-hydrolyzing) activity",DNA topological change,chromosome,,,
PBANKA_136000,"DNA topoisomerase III, putative",,,,PF3D7_1347100,"DNA topoisomerase III, putative",DNA replication,0,1,1,na,DNA topoisomerase type I activity,DNA topological change,chromosome,,,
PBANKA_113720,"Sec24 subunit, putative",,,,PF3D7_1361100,Sec24 subunit a (SEC24a),trafficking,0,1,1,na,"protein binding, zinc ion binding","ER to Golgi vesicle-mediated transport, intracellular protein transport",COPII vesicle coat,,,
PBANKA_100280,"Sec24-like protein, putative",,,,PF3D7_0405100,Sec24 subunit b (SEC24b),trafficking,1,0,1,na,protein binding,"ER to Golgi vesicle-mediated transport, intracellular protein transport",COPII vesicle coat,,,
PBANKA_030910,"peptide chain release factor subunit 1, putative",,,,PF3D7_0212300,"peptide chain release factor subunit 1, putative",translation,0,1,1,na,"translation release factor activity, codon specific",translational termination,cytoplasm,,,
PBANKA_111050,"translationally controlled tumor protein homolog, putative",,,,PF3D7_0511000,"translationally controlled tumor protein homolog, putative",trafficking,1,0,1,na,null,null,cytoplasm,,,
PBANKA_060280,"ubiquitin-conjugating enzyme e2, putative",,,,PF3D7_1203900,"ubiquitin conjugating enzyme E2, putative (UBC)",proteasome,1,0,1,na,ubiquitin-protein ligase activity,"post-translational protein modification, regulation of protein metabolic process",cytoplasm,,,
PBANKA_130990,"leucine aminopeptidase, putative",,,,PF3D7_1446200,M17 leucyl aminopeptidase (LAP),protease,0,1,1,na,"aminopeptidase activity, manganese ion binding, metalloexopeptidase activity","protein metabolic process, proteolysis","cytoplasm, intracellular",,,
PBANKA_123210,"pre-mRNA-splicing factor, putative (SR1)",,,,PF3D7_0517300,pre-mRNA-splicing factor (SR1),mRNA,0,1,1,na,nucleic acid binding,RNA splicing,"cytoplasm, nucleus",,,
PBANKA_103620,"RNA-binding protein, putative",,,,PF3D7_1406000,"RNA binding protein, putative",mRNA,0,1,1,na,RNA binding,RNA processing,"cytoplasm, nucleus",,,
PBANKA_132950,"protein serine/threonine phosphatase, putative",,,,PF3D7_1466100,protein serine/threonine phosphatase,phosphatase,1,0,1,"different in fertilization, ookinete, oocyst and sporozoite","iron ion binding, manganese ion binding, phosphoprotein phosphatase activity",null,"cytoplasm, nucleus",,,
PBANKA_082340,"phosphoglycerate kinase, putative (PGK)",,,,PF3D7_0922500,phosphoglycerate kinase (PGK),glycolysis,0,1,1,na,phosphoglycerate kinase activity,glycolysis,cytosol,,,
PBANKA_110860,"SNAP protein, putative",,,,PF3D7_0509000,"SNAP protein (soluble N-ethylmaleimide-sensitive factor Attachment Protein), putative",trafficking,0,1,1,na,null,intracellular protein transport,"Golgi apparatus, endoplasmic reticulum",,,
PBANKA_120940,"conserved Plasmodium protein, unknown function",,,,PF3D7_1011000,"conserved protein, unknown function",gliding motility,0,1,1,"(tagged) different in fertilization, ookinete, oocyst, sprorozoite and liver stage",null,null,inner membrane complex,,,
PBANKA_135850,"conserved Plasmodium protein, unknown function",,,,PF3D7_1345600,"conserved Plasmodium protein, unknown function",gliding motility,1,0,1,na,null,null,inner membrane complex,,,
PBANKA_110780,"longevity-assurance (LAG1) protein, putative",,,,PF3D7_0508200,"longevity-assurance (LAG1) domain protein, putative",ceramide biosynthesis,0,1,1,na,null,null,integral to membrane,,,
PBANKA_070270,"rhomboid protease, putative",,,,PF3D7_0828000,rhomboid protease ROM3 (ROM3),rhomboid,0,1,1,different in oocyst and sporozoite; (tagged) also different in fertilization and ookinete,null,null,integral to membrane,,,
PBANKA_111780,"conserved Plasmodium protein, unknown function,rhomboid protease ROM10, putative",,,,PF3D7_0618600,rhomboid protease ROM10 (ROM10),rhomboid,1,0,1,not different from wild type,null,null,integral to membrane,,,
PBANKA_141300,"cop-coated vesicle membrane protein p24 precursor, putative",,,,PF3D7_1314500,"cop-coated vesicle membrane protein p24 precursor, putative",trafficking,1,0,1,na,null,transport,integral to membrane,,,
PBANKA_031330,MtN3-like protein,,,,PF3D7_0216600,MtN3-like protein,trafficking,1,0,1,na,null,null,integral to membrane,,,
PBANKA_110650,"rhomboid protease, putative (ROM4)",,,,PF3D7_0506900,rhomboid protease ROM4 (ROM4),rhomboid,1,0,1,KO not successful,serine-type endopeptidase activity,null,integral to membrane,,,
PBANKA_131230,"SNARE protein, putative",,,,PF3D7_1448600,"SNARE protein, putative (VTI1)",trafficking,1,0,1,na,null,vesicle-mediated transport,integral to membrane,,,
PBANKA_133990,"SNARE protein, putative",,,,PF3D7_1324700,"SNARE protein, putative (YKT6.2)",trafficking,1,0,1,na,null,vesicle-mediated transport,integral to membrane,,,
PBANKA_020700,"calcium-transporting ATPase, putative (SERCA)",,,,PF3D7_0106300,calcium-transporting ATPase (ATP6),transporter,0,1,1,na,"ATP binding, calcium-transporting ATPase activity","ATP biosynthetic process, calcium ion transport, metabolic process","integral to membrane, membrane",,,
PBANKA_110310,actin-depolymerizing factor 1 (ADF1),,,,PF3D7_0503400,actin-depolymerizing factor 1 (ADF1),gliding motility,0,1,1,KO not successful,actin binding,null,intracellular,,,
PBANKA_131340,"exosome complex exonuclease RRP6, putative (RRP6)",,,,PF3D7_1449700,"exosome complex exonuclease RRP6, putative (RRP6)",mRNA,0,1,1,na,"3'-5' exonuclease activity, nucleic acid binding",nucleobase-containing compound metabolic process,intracellular,,,
PBANKA_100810,"GTPase, putative",,,,PF3D7_1436500,"conserved protein, unknown function","translation, transporter",0,1,1,na,GTP binding,null,intracellular,,,
PBANKA_145990,"signal recognition particle, beta subunit, putative",,,,PF3D7_1246800,"signal recognition particle receptor, beta subunit (SRPR-beta)",post-translational modification,0,1,1,na,GTP binding,"intracellular protein transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_132410,"ubiquitin carboxyl-terminal hydrolase isozyme L3, putative (UCHL3)",,,,PF3D7_1460400,ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCHL3),proteasome,0,1,1,na,ubiquitin thiolesterase activity,ubiquitin-dependent protein catabolic process,intracellular,,,
PBANKA_130430,"conserved Plasmodium protein, unknown function",,,,PF3D7_1440400,"conserved Plasmodium protein, unknown function",unknown function,1,0,1,na,zinc ion binding,null,intracellular,,,
PBANKA_135410,Rab GTPase 11b,,,,PF3D7_1340700,Rab GTPase 11b (RAB11b),trafficking,1,0,1,na,"GTP binding, GTPase activity, protein binding","intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_060770,"zinc finger transcription factor, putative",,,,PF3D7_1209300,zinc finger transcription factor (KROX1),transcription,1,0,1,na,zinc ion binding,null,intracellular,,,
PBANKA_100590,"zinc-finger, RAN binding protein, putative",,,,PF3D7_0408300,"zinc finger, RAN binding protein, putative",transcription,1,0,1,na,zinc ion binding,null,intracellular,,,
PBANKA_050710,"CDGSH iron-sulfur domain-containing protein, putative",,,,PF3D7_1022900,"CDGSH iron-sulfur domain-containing protein, putative",intracellular Mb-bounded organelle,1,0,1,na,"2 iron, 2 sulfur cluster binding",null,intracellular membrane-bounded organelle,,,
PBANKA_140130,"40S ribosomal protein S7, putative",,,,PF3D7_1302800,"40S ribosomal protein S7, putative",ribosome,0,1,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_123390,"mitochondrial ribosomal protein L14 precursor, putative -1.88",,,0.73,PF3D7_0519100,"mitochondrial ribosomal protein L14 precursor, putative",ribosome mito,0,1,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_123720,"mitochondrial ribosomal protein L17 precursor, putative -2.23",,,0.75,PF3D7_0522500,"mitochondrial ribosomal protein L17 precursor, putative",ribosome mito,0,1,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_145610,"40S ribosomal protein S17, putative",,,,PF3D7_1242700,"40S ribosomal protein S17, putative",ribosome,1,0,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_090640,"60S ribosomal protein L35ae, putative",,,,PF3D7_1142600,"60S ribosomal protein L35ae, putative",ribosome,1,0,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_091810,"60S ribosomal protein L38e, putative",,,,PF3D7_1130100,"60S ribosomal protein L38e, putative",ribosome,1,0,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_135190,"60S ribosomal protein L6-2, putative",,,,PF3D7_1338200,"60S ribosomal protein L6-2, putative",ribosome,1,0,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_081920,"organelle ribosomal protein L3 precursor, putative",,,,PF3D7_0918200,"organelle ribosomal protein L3 precursor, putative",ribosome,1,0,1,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_120190,"40S ribosomal protein S20e, putative",,,,PF3D7_1003500,"40S ribosomal protein S20e, putative",ribosome,1,0,1,na,structural constituent of ribosome,translation,"intracellular, ribosome, small ribosomal subunit",,,
PBANKA_101500,"mitochondrial ribosomal protein L15 precursor, putative -1.72",,,0.71,PF3D7_1429700,"mitochondrial ribosomal protein L15 precursor, putative",ribosome mito,0,1,1,na,structural constituent of ribosome,translation,large ribosomal subunit,,,
PBANKA_071880,"small GTP-binding protein sar1, putative (SAR1)",,,,PF3D7_0416800,small GTP-binding protein sar1 (SAR1),trafficking,0,1,1,na,GTP binding,"intracellular protein transport, small GTPase mediated signal transduction","Maurer's cleft, intracellular",,,
PBANKA_120910,"dolichyl-phosphate-mannose protein mannosyltransferase, putative",,,,PF3D7_1010700,"dolichyl-phosphate-mannose protein mannosyltransferase, putative",O-glycan biosynthesis,0,1,1,na,null,null,membrane,,,
PBANKA_145500,"mitochondrial carrier protein, putative -2.26",,,0.75,PF3D7_1241600,"mitochondrial carrier protein, putative",transporter,0,1,1,na,binding,transport,membrane,,,
PBANKA_060110,"mitochondrial phosphate carrier protein, putative",,,,PF3D7_1202200,mitochondrial phosphate carrier protein (MPC),transporter,0,1,1,na,binding,transport,membrane,,,
PBANKA_010770,"permease, putative",,-2.25,0.75,PF3D7_0609100,Zn2 or Fe2 permease,acidocalcisome,0,1,1,na,metal ion transmembrane transporter activity,metal ion transport,membrane,,,
PBANKA_050650,"zinc transporter, putative",,,,PF3D7_1022300,"zinc transporter, putative",acidocalcisome,0,1,1,na,metal ion transmembrane transporter activity,metal ion transport,membrane,,,
PBANKA_061040,"ATPase, putative",,,,PF3D7_1211900,non-SERCA-type Ca2 -transporting P-ATPase (ATP4),acidocalcisome,1,0,1,na,"ATP binding, ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism","ATP biosynthetic process, cation transport, metabolic process",membrane,,,
PBANKA_142710,"conserved Plasmodium protein, unknown function",,-3.76,0.75,PF3D7_0810400,"conserved Plasmodium membrane protein, unknown function",unknown function,1,0,1,na,transporter activity,transport,membrane,,,
PBANKA_101380,"cytochrome c oxidase subunit II precursor, putative",,,,PF3D7_1430900,"cytochrome c oxidase subunit II precursor, putative",redoxmeth,1,0,1,na,"copper ion binding, cytochrome-c oxidase activity",null,membrane,,,
PBANKA_093900,"ion channel protein, putative",,,,PF3D7_1107900,mechanosensitive ion channel protein,transporter,1,0,1,na,null,null,membrane,,,
PBANKA_141410,"phosphatidylinositol synthase, putative (PIS)",,,,PF3D7_1315600,phosphatidylinositol synthase (PIS),inositol phosphate metabolism,1,0,1,na,"phosphotransferase activity, for other substituted phosphate groups",phospholipid biosynthetic process,membrane,,,
PBANKA_131620,"SNARE protein, putative",,,,PF3D7_1452500,"SNARE protein, putative (PfBet1)",trafficking,1,0,1,na,protein binding,Golgi vesicle transport,membrane,,,
PBANKA_146340,"adaptor-related protein complex 3, sigma 2 subunit, putative",,,,PF3D7_1250500,"adaptor-related protein complex 3, sigma 2 subunit, putative",trafficking,0,1,1,na,"protein binding, protein transporter activity","intracellular protein transport, vesicle-mediated transport",membrane coat,,,
PBANKA_136550,intra-erythrocytic P. berghei-induced structures protein 1 (IBIS1),,,,,,,1,0,1,different in liver stage,null,null,"membrane, symbiont-containing vacuole membrane",,,
PBANKA_082420,perforin like protein 3 (PPLP3),,-2.93,0.75,PF3D7_0923300,perforin like protein 3 (PPLP3),perforin,0,1,1,"different in fertilization, ookinete and oocyst",null,null,microneme,,,
PBANKA_021390,"dynein light chain, putative",,,,PF3D7_0729800,"dynein light chain, putative",dynein/kinesin,0,1,1,na,microtubule motor activity,microtubule-based process,microtubule associated complex,,,
PBANKA_030220,"dynein light chain, putative",,,,PF3D7_0204400,"dynein light chain, putative",dynein/kinesin,1,0,1,na,microtubule motor activity,microtubule-based process,microtubule associated complex,,,
PBANKA_083430,"conserved Plasmodium protein, unknown function",,,,PF3D7_0933500,"conserved Plasmodium protein, unknown function",chromatin,0,1,1,na,null,microtubule cytoskeleton organization,"microtubule organizing center, spindle pole",,,
PBANKA_101010,"mitochondrial import inner membrane translocase subunit tim17, putative",,,,PF3D7_1434700,"mitochondrial import inner membrane translocase subunit tim17, putative",transporter,0,1,1,na,protein transporter activity,protein transport,mitochondrial inner membrane,,,
PBANKA_145630,"mitochondrial import inner membrane translocase subunit, putative",,,,PF3D7_1242900,"mitochondrial import inner membrane translocase subunit, putative",transporter,0,1,1,na,null,protein import into mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex,,,
PBANKA_111650,"mitochondrial import receptor subunit, putative",,,,PF3D7_0617000,"mitochondrial import receptor subunit tom40, putative",transporter,1,0,1,na,voltage-gated anion channel activity,anion transport,mitochondrial outer membrane,,,
PBANKA_142180,"mitochondrial ATP synthase F1, epsilon subunit, putative",,,,PF3D7_0715500,"mitochondrial ATP synthase F1, epsilon subunit, putative",transporter,1,0,1,na,"hydrogen ion transporting ATP synthase activity, rotational mechanism, proton-transporting ATPase activity, rotational mechanism",ATP synthesis coupled proton transport,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1), mitochondrion",,,
PBANKA_041330,"mitochondrial ribosomal protein L29/L47 precursor, putative",,,,PF3D7_0315500,"mitochondrial ribosomal protein L29/L47 precursor, putative",ribosome mito,1,0,1,na,structural constituent of ribosome,translation,mitochondrial ribosome,,,
PBANKA_092360,"GrpE protein homolog, mitochondrial, putative (MGE1)",,-2.7,0.75,PF3D7_1124700,"co-chaperone GrpE, putative","chaperone, transporter",1,0,1,na,"adenyl-nucleotide exchange factor activity, chaperone binding, protein homodimerization activity","protein folding, protein import into mitochondrial matrix",mitochondrion,,,
PBANKA_102500,"conserved Plasmodium protein, unknown function",,,,PF3D7_1417700,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,"nuclear periphery, nucleus",,,
PBANKA_111700,"histone H2A, putative (H2A)",,,,PF3D7_0617800,histone H2A (H2A),"chaperone, chromatin",0,1,1,na,DNA binding,nucleosome assembly,"nucleosome, nucleus",,,
PBANKA_142060,"histone H2B, putative",,,,PF3D7_0714000,"histone H2B variant, putative (H2Bv)",chaperone,1,0,1,(tagged) different in liver stage,DNA binding,nucleosome assembly,"nucleosome, nucleus",,,
PBANKA_143940,"chromatin assembly protein, putative",,,,PF3D7_1224500,"chromatin assembly protein (ASF1), putative",chromatin,0,1,1,na,null,chromatin assembly or disassembly,nucleus,,,
PBANKA_142770,"RuvB DNA helicase, putative",,,,PF3D7_0809700,"RuvB DNA helicase, putative",DNA replication,0,1,1,na,"ATP binding, ATP-dependent 5'-3' DNA helicase activity, ATPase activity, DNA helicase activity",null,nucleus,,,
PBANKA_113440,"conserved Plasmodium protein, unknown function",,,,PF3D7_1358100,"small subunit rRNA processing factor, putative",RNA,1,0,1,na,null,gene silencing,nucleus,,,
PBANKA_113090,"methyltransferase, putative",,-2.13,0.74,PF3D7_1354300,"large subunit rRNA methyltransferase, putative",RNA,1,0,1,na,"methyltransferase activity, nucleic acid binding",rRNA methylation,nucleus,,,
PBANKA_051140,"peroxiredoxin, putative (nPrx, UIS16)",,,,PF3D7_1027300,peroxiredoxin (nPrx),redoxmeth,1,0,1,na,"antioxidant activity, oxidoreductase activity",null,nucleus,,,
PBANKA_090720,"phd finger protein, putative",,,,PF3D7_1141800,"phd finger protein, putative",chromatin,1,0,1,na,"protein binding, zinc ion binding",null,nucleus,,,
PBANKA_111910,"splicing factor 3A subunit 2, putative (SF3A2)",,,,PF3D7_0619900,"splicing factor 3A subunit 2, putative (SF3A2)",mRNA,1,0,1,na,"nucleic acid binding, zinc ion binding",null,nucleus,,,
PBANKA_133200,"U2 snRNP auxiliary factor, putative",,,,PF3D7_1468800,"U2 snRNP auxiliary factor, putative",mRNA,1,0,1,na,RNA binding,mRNA processing,nucleus,,,
PBANKA_132740,"yl1 nuclear protein, putative",,,,PF3D7_1464000,"YL1 nuclear protein, putative",transcription,1,0,1,na,sequence-specific DNA binding transcription factor activity,"regulation of transcription, DNA-dependent",nucleus,,,
PBANKA_020290,"transcription initiation factor TFIIB, putative",,,,PF3D7_0110800,"transcription initiation factor TFIIB, putative",transcription,1,0,1,na,"protein binding, translation initiation factor activity, zinc ion binding","DNA-dependent transcription, initiation, regulation of transcription, DNA-dependent, translational initiation","nucleus, transcription factor complex",,,
PBANKA_110580,"TATA-box binding protein, putative,transcription initiation factor tfiid, putative (TBP)",,,,PF3D7_0506200,"transcription initiation factor TFiid, TATA-binding protein (TBP)",transcription,0,1,1,na,DNA binding,"regulation of transcription, DNA-dependent, transcription initiation from RNA polymerase II promoter","nucleus, transcription factor TFIID complex",,,
PBANKA_101590,"transcription initiation TFIID-like, putative",,,,PF3D7_1428800,"transcription initiation TFIID-like, putative",transcription,0,1,1,na,DNA binding,"regulation of transcription, DNA-dependent, transcription initiation from RNA polymerase II promoter","nucleus, transcription factor TFIID complex",,,
PBANKA_114400,"26s proteasome regulatory subunit rpn11, putative (RPN11)",,,,PF3D7_1368100,"proteasome regulatory subunit, putative",proteasome,0,1,1,na,null,null,null,null,ubiquitin-dependent protein catabolic process,proteasome regulatory particle
PBANKA_112620,"4-methyl-5(B-hydroxyethyl)-thiazol monophosphate biosynthesis enzyme, putative",,,,PF3D7_0627500,4-methyl-5(B-hydroxyethyl)-thiazol monophosphate biosynthesis enzyme,thiamine (vitB1) metabolism,0,1,1,na,null,null,null,null,thiamine biosynthetic process,null
PBANKA_130550,"acid cluster protein 33 homologue, putative -2.34",,,0.75,PF3D7_1441600,"acid cluster protein 33 homologue, putative",,0,1,1,na,null,null,null,null,null,null
PBANKA_112340,"anaphase-promoting complex subunit, putative",,,,PF3D7_0624500,"anaphase promoting complex subunit, putative",meiosis,0,1,1,na,"protein binding, zinc ion binding",null,null,,,
PBANKA_031500,"apicoplast RNA methyltransferase precursor, putative",,,,PF3D7_0218300,"apicoplast RNA methyltransferase precursor, putative",RNA,0,1,1,na,"RNA binding, RNA methyltransferase activity",RNA processing,null,,,
PBANKA_123260,"apicortin, putative -1.89",,,0.7,PF3D7_0517800,"apicortin, putative",apicoplast,0,1,1,na,null,intracellular signal transduction,null,,,
PBANKA_135770,"aspartate carbamoyltransferase, putative -4.56",,,0.75,PF3D7_1344800,aspartate carbamoyltransferase (atcasE),pyrimidine metabolism,0,1,1,na,"amino acid binding, aspartate carbamoyltransferase activity","'de novo' pyrimidine nucleobase biosynthetic process, cellular amino acid metabolic process",null,,,
PBANKA_140020,BIR protein,,,,,,BIR protein,0,1,1,na,null,null,null,na,na,na
PBANKA_031640,"BIR protein, pseudogene",,,,,,BIR protein,0,1,1,na,null,null,null,,,
PBANKA_050080,"BIR protein, pseudogene",,,,,,BIR protein,0,1,1,na,null,null,null,na,na,na
PBANKA_040820,calcium dependent protein kinase 3 (CDPK3) -1.68,,,0.71,PF3D7_0310100,calcium dependent protein kinase 3 (CDPK3),kinase,0,1,1,"different in fertilization, ookinete and oocyst","ATP binding, calcium ion binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_101980,"calcium-dependent protein kinase, putative -6.75",,,0.75,PF3D7_1423600,"serine/threonine protein kinase, putative, cdlk",kinase,0,1,1,"different in oocyst, sporozoite and liver stage","ATP binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_091210,casein kinase 1 (CK1),,,,PF3D7_1136500.1/2,casein kinase 1 (CK1),kinase,0,1,1,KO not successful,"ATP binding, protein serine/threonine kinase activity, protein tyrosine kinase activity",protein phosphorylation,null,,,
PBANKA_051910,"CCAT-binding transcription factor-like protein, putative",,,,PF3D7_1036600.1/2,"conserved Plasmodium protein, unknown function",transcription,0,1,1,na,null,null,null,na,na,na
PBANKA_101600,"conserved Plasmodium protein, unknown function -2.1",,,0.73,PF3D7_1428700,"conserved protein, unknown function",redoxmeth,0,1,1,na,heme binding,null,null,,,
PBANKA_060600,"conserved Plasmodium protein, unknown function",,,,PF3D7_1207500,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,nucleic acid binding,null,null,,,
PBANKA_132780,"conserved Plasmodium protein, unknown function",,,,PF3D7_1464400,"zinc finger protein, putative",nucleic acid binding,0,1,1,na,"nucleic acid binding, zinc ion binding",null,null,,,
PBANKA_010510,"conserved Plasmodium protein, unknown function",,,,PF3D7_0606400,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,"cytoplasm, membrane"
PBANKA_010700,"conserved Plasmodium protein, unknown function",,,,PF3D7_0608400,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_010960,"conserved Plasmodium protein, unknown function",,,,PF3D7_0611300,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_010990,"conserved Plasmodium protein, unknown function -3.42",,,0.74,PF3D7_0611600,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_020790,"conserved Plasmodium protein, unknown function",,,,PF3D7_0105400.1/2,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,"integral to membrane, membrane"
PBANKA_021160,"conserved Plasmodium protein, unknown function",,,,PF3D7_0727500,"conserved Plasmodium protein, unknown function",mitochondrial transcription,0,1,1,na,null,null,null,null,null,apicoplast
PBANKA_021260,"conserved Plasmodium protein, unknown function",,,,PF3D7_0728500,"conserved Plasmodium protein, unknown function",kinase,0,1,1,na,null,null,null,null,null,null
PBANKA_021450,"conserved Plasmodium protein, unknown function",,,,PF3D7_0730400,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_030280,"conserved Plasmodium protein, unknown function",,,,PF3D7_0205100,"conserved Plasmodium protein, unknown function",DNA repair,0,1,1,na,null,null,null,protein binding,null,null
PBANKA_030350,"conserved Plasmodium protein, unknown function -2.1",,,0.73,PF3D7_0205800,"conserved Plasmodium protein, unknown function",phospholipid binding,0,1,1,na,null,null,null,null,null,null
PBANKA_040880,"conserved Plasmodium protein, unknown function",,,,PF3D7_0310800,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,"apicoplast, integral to membrane, membrane"
PBANKA_041140,"conserved Plasmodium protein, unknown function",,,,PF3D7_0313700.1/2,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_041560,"conserved Plasmodium protein, unknown function",,,,PF3D7_0905800,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,"DNA binding, protein binding, translation elongation factor activity, zinc ion binding","DNA-dependent transcription, elongation, regulation of transcription from RNA polymerase II promoter, transcription, DNA-dependent",nucleus
PBANKA_050780,"conserved Plasmodium protein, unknown function",,,,PF3D7_1023600,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,"ATP binding, motor activity, protein binding",null,cytoplasm
PBANKA_051600,"conserved Plasmodium protein, unknown function",,,,PF3D7_1032200,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_052200,"conserved Plasmodium protein, unknown function",,,,PF3D7_0420600,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_062020,"conserved Plasmodium protein, unknown function",,,,PF3D7_0722700,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,integral to membrane
PBANKA_071300,"conserved Plasmodium protein, unknown function",,,,PF3D7_0817800,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,"metal ion binding, nucleotide binding",null,null
PBANKA_080140,"conserved Plasmodium protein, unknown function",,,,PF3D7_0703700,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_081510,"conserved Plasmodium protein, unknown function",,-3.06,0.75,PF3D7_0914100,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,"ATP binding, motor activity, protein binding",null,cytoplasm
PBANKA_082930,"conserved Plasmodium protein, unknown function",,,,PF3D7_0928500,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,protein binding,null,null
PBANKA_092250,"conserved Plasmodium protein, unknown function",,,,PF3D7_1125800,"kelch protein, putative",microtubule,0,1,1,na,null,null,null,null,null,null
PBANKA_092270,"conserved Plasmodium protein, unknown function",,,,PF3D7_1125600,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,null,null,null
PBANKA_092330,"conserved Plasmodium protein, unknown function",,-3.36,0.75,PF3D7_1125000,"conserved Plasmodium protein, unknown function",unknown function,0,1,1,na,null,null,null,"ATP binding, ATPase activity",transport,"apicoplast, plasma membrane"
